Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
954.60,0.00,2.39,5410.33,3185.75,83.30,60.32,100.00,0.25
801.90,200.50,2.01,5388.00,3015.38,86.88,60.65,100.00,0.25
634.70,423.20,1.59,5391.13,2808.80,90.83,61.19,100.00,0.25
448.10,672.20,1.12,5405.72,2515.99,95.11,61.97,100.00,0.25
238.90,955.70,0.60,5433.80,2059.65,99.88,63.10,100.00,0.25
954.60,0.00,2.39,5410.33,3185.75,83.30,60.32,200.00,0.25
801.90,200.50,2.01,5388.00,3015.38,86.88,60.65,200.00,0.25
634.70,423.20,1.59,5391.13,2808.80,90.83,61.19,200.00,0.25
448.10,672.20,1.12,5405.72,2515.99,95.11,61.97,200.00,0.25
238.90,955.70,0.60,5433.80,2059.65,99.88,63.10,200.00,0.25
954.60,0.00,2.39,5410.33,3185.75,83.30,60.32,300.00,0.25
801.90,200.50,2.01,5388.00,3015.38,86.88,60.65,300.00,0.25
634.70,423.20,1.59,5391.13,2808.80,90.83,61.19,300.00,0.25
448.10,672.20,1.12,5405.72,2515.99,95.11,61.97,300.00,0.25
238.90,955.70,0.60,5433.80,2059.65,99.88,63.10,300.00,0.25
954.60,0.00,2.39,5410.33,3185.75,83.30,60.32,400.00,0.25
801.90,200.50,2.01,5388.00,3015.38,86.88,60.65,400.00,0.25
634.70,423.20,1.59,5391.13,2808.80,90.83,61.19,400.00,0.25
448.10,672.20,1.12,5405.72,2515.99,95.11,61.97,400.00,0.25
238.90,955.70,0.60,5433.80,2059.65,99.88,63.10,400.00,0.25
954.60,0.00,2.39,5410.33,3185.75,83.30,60.32,500.00,0.25
801.90,200.50,2.01,5388.00,3015.38,86.88,60.65,500.00,0.25
634.70,423.20,1.59,5391.13,2808.80,90.83,61.19,500.00,0.25
448.10,672.20,1.12,5405.72,2515.99,95.11,61.97,500.00,0.25
238.90,955.70,0.60,5433.80,2059.65,99.88,63.10,500.00,0.25
954.60,0.00,2.39,5410.33,3185.75,83.30,60.32,600.00,0.25
801.90,200.50,2.01,5388.00,3015.38,86.88,60.65,600.00,0.25
634.70,423.20,1.59,5391.13,2808.80,90.83,61.19,600.00,0.25
448.10,672.20,1.12,5405.72,2515.99,95.11,61.97,600.00,0.25
238.90,955.70,0.60,5433.80,2059.65,99.88,63.10,600.00,0.25
1525.40,0.00,3.81,5294.09,3085.39,96.71,61.73,100.00,0.32
1284.80,321.20,3.21,5257.71,2876.79,102.25,62.79,100.00,0.32
1024.20,682.80,2.56,5261.18,2648.70,108.41,64.40,100.00,0.32
725.40,1088.10,1.81,5284.38,2381.27,114.27,66.99,100.00,0.32
386.50,1546.00,0.97,5330.71,1959.60,120.33,70.22,100.00,0.32
1525.40,0.00,3.81,5294.09,3085.39,96.71,61.73,200.00,0.32
1284.80,321.20,3.21,5257.71,2876.79,102.25,62.79,200.00,0.32
1024.20,682.80,2.56,5261.18,2648.70,108.41,64.40,200.00,0.32
725.40,1088.10,1.81,5284.38,2381.27,114.27,66.99,200.00,0.32
386.50,1546.00,0.97,5330.71,1959.60,120.33,70.22,200.00,0.32
1525.40,0.00,3.81,5294.09,3085.39,96.71,61.73,300.00,0.32
1284.80,321.20,3.21,5257.71,2876.79,102.25,62.79,300.00,0.32
1024.20,682.80,2.56,5261.18,2648.70,108.41,64.40,300.00,0.32
725.40,1088.10,1.81,5284.38,2381.27,114.27,66.99,300.00,0.32
386.50,1546.00,0.97,5330.71,1959.60,120.33,70.22,300.00,0.32
1525.40,0.00,3.81,5294.09,3085.39,96.71,61.73,400.00,0.32
1284.80,321.20,3.21,5257.71,2876.79,102.25,62.79,400.00,0.32
1024.20,682.80,2.56,5261.18,2648.70,108.41,64.40,400.00,0.32
725.40,1088.10,1.81,5284.38,2381.27,114.27,66.99,400.00,0.32
386.50,1546.00,0.97,5330.71,1959.60,120.33,70.22,400.00,0.32
1525.40,0.00,3.81,5294.09,3085.39,96.71,61.73,500.00,0.32
1284.80,321.20,3.21,5257.71,2876.79,102.25,62.79,500.00,0.32
1024.20,682.80,2.56,5261.18,2648.70,108.41,64.40,500.00,0.32
725.40,1088.10,1.81,5284.38,2381.27,114.27,66.99,500.00,0.32
386.50,1546.00,0.97,5330.71,1959.60,120.33,70.22,500.00,0.32
1525.40,0.00,3.81,5294.09,3085.39,96.71,61.73,600.00,0.32
1284.80,321.20,3.21,5257.71,2876.79,102.25,62.79,600.00,0.32
1024.20,682.80,2.56,5261.18,2648.70,108.41,64.40,600.00,0.32
725.40,1088.10,1.81,5284.38,2381.27,114.27,66.99,600.00,0.32
386.50,1546.00,0.97,5330.71,1959.60,120.33,70.22,600.00,0.32
2369.00,0.00,5.92,5118.20,2857.94,114.14,66.90,100.00,0.42
1979.30,494.80,4.95,5066.03,2661.24,120.74,69.95,100.00,0.42
1568.50,1045.60,3.92,5076.05,2469.63,127.48,74.07,100.00,0.42
1108.90,1663.30,2.77,5114.68,2217.26,133.98,79.01,100.00,0.42
590.20,2361.00,1.48,5187.74,1817.41,140.50,84.65,100.00,0.42
2369.00,0.00,5.92,5118.20,2857.94,114.14,66.90,200.00,0.42
1979.30,494.80,4.95,5066.03,2661.24,120.74,69.95,200.00,0.42
1568.50,1045.60,3.92,5076.05,2469.63,127.48,74.07,200.00,0.42
1108.90,1663.30,2.77,5114.68,2217.27,133.98,79.01,200.00,0.42
590.20,2361.00,1.48,5187.74,1817.41,140.50,84.65,200.00,0.42
2369.00,0.00,5.92,5118.20,2857.94,114.14,66.90,300.00,0.42
1979.30,494.80,4.95,5066.03,2661.24,120.74,69.95,300.00,0.42
1568.50,1045.60,3.92,5076.05,2469.63,127.48,74.07,300.00,0.42
1108.90,1663.30,2.77,5114.68,2217.27,133.98,79.01,300.00,0.42
590.20,2361.00,1.48,5187.74,1817.41,140.50,84.65,300.00,0.42
2369.00,0.00,5.92,5118.20,2857.94,114.14,66.90,400.00,0.42
1979.30,494.80,4.95,5066.03,2661.24,120.74,69.95,400.00,0.42
1568.50,1045.60,3.92,5076.05,2469.64,127.48,74.07,400.00,0.42
1108.90,1663.30,2.77,5114.68,2217.26,133.98,79.01,400.00,0.42
590.20,2361.00,1.48,5187.74,1817.41,140.50,84.65,400.00,0.42
2369.00,0.00,5.92,5118.20,2857.94,114.14,66.90,500.00,0.42
1979.30,494.80,4.95,5066.03,2661.24,120.74,69.95,500.00,0.42
1568.50,1045.60,3.92,5076.05,2469.64,127.48,74.07,500.00,0.42
1108.90,1663.30,2.77,5114.68,2217.26,133.98,79.01,500.00,0.42
590.20,2361.00,1.48,5187.74,1817.41,140.50,84.65,500.00,0.42
2369.00,0.00,5.92,5118.20,2857.94,114.14,66.90,600.00,0.42
1979.30,494.80,4.95,5066.03,2661.24,120.74,69.95,600.00,0.42
1568.50,1045.60,3.92,5076.05,2469.63,127.48,74.07,600.00,0.42
1108.90,1663.30,2.77,5114.68,2217.26,133.98,79.01,600.00,0.42
590.20,2361.00,1.48,5187.74,1817.41,140.50,84.65,600.00,0.42
3426.90,0.00,8.57,4890.03,2514.22,131.43,76.78,100.00,0.54
2834.20,708.50,7.09,4822.11,2344.70,137.62,81.84,100.00,0.54
2240.70,1493.80,5.60,4841.81,2182.15,144.29,88.06,100.00,0.54
1585.40,2378.10,3.96,4900.73,1958.29,150.93,94.99,100.00,0.54
844.50,3378.10,2.11,5008.27,1598.62,157.41,102.45,100.00,0.54
3426.90,0.00,8.57,4890.03,2514.22,131.43,76.78,200.00,0.54
2834.20,708.50,7.09,4822.11,2344.70,137.62,81.84,200.00,0.54
2240.70,1493.80,5.60,4841.82,2182.15,144.29,88.06,200.00,0.54
1585.40,2378.10,3.96,4900.73,1958.29,150.93,94.99,200.00,0.54
844.50,3378.10,2.11,5008.27,1598.62,157.41,102.45,200.00,0.54
3426.90,0.00,8.57,4890.03,2514.22,131.43,76.78,300.00,0.54
2834.20,708.50,7.09,4822.11,2344.70,137.62,81.84,300.00,0.54
2240.70,1493.80,5.60,4841.82,2182.15,144.29,88.06,300.00,0.54
1585.40,2378.10,3.96,4900.73,1958.29,150.93,94.99,300.00,0.54
844.50,3378.10,2.11,5008.27,1598.62,157.41,102.45,300.00,0.54
3426.90,0.00,8.57,4890.03,2514.22,131.43,76.78,400.00,0.54
2834.20,708.50,7.09,4822.11,2344.70,137.62,81.84,400.00,0.54
2240.70,1493.80,5.60,4841.82,2182.15,144.29,88.06,400.00,0.54
1585.40,2378.10,3.96,4900.73,1958.29,150.93,94.99,400.00,0.54
844.50,3378.10,2.11,5008.27,1598.62,157.41,102.45,400.00,0.54
3426.90,0.00,8.57,4890.03,2514.22,131.43,76.78,500.00,0.54
2834.20,708.50,7.09,4822.11,2344.70,137.62,81.84,500.00,0.54
2240.70,1493.80,5.60,4841.82,2182.15,144.29,88.06,500.00,0.54
1585.40,2378.10,3.96,4900.73,1958.29,150.93,94.99,500.00,0.54
844.50,3378.10,2.11,5008.27,1598.62,157.41,102.45,500.00,0.54
3426.90,0.00,8.57,4890.03,2514.22,131.43,76.78,600.00,0.54
2834.20,708.50,7.09,4822.11,2344.70,137.62,81.84,600.00,0.54
2240.70,1493.80,5.60,4841.81,2182.15,144.29,88.06,600.00,0.54
1585.40,2378.10,3.96,4900.73,1958.29,150.93,94.99,600.00,0.54
844.50,3378.10,2.11,5008.27,1598.63,157.41,102.45,600.00,0.54
4486.80,0.00,11.22,4650.92,2085.15,144.13,87.80,100.00,0.70
3692.60,923.10,9.23,4567.73,1938.75,150.02,93.95,100.00,0.70
2928.50,1952.40,7.32,4595.59,1808.98,156.67,101.61,100.00,0.70
2081.70,3122.50,5.20,4673.84,1628.99,162.97,109.71,100.00,0.70
1116.60,4466.50,2.79,4814.61,1327.81,168.83,118.01,100.00,0.70
4486.80,0.00,11.22,4650.92,2085.15,144.13,87.80,200.00,0.70
3692.60,923.10,9.23,4567.73,1938.75,150.02,93.95,200.00,0.70
2928.50,1952.40,7.32,4595.59,1808.98,156.67,101.61,200.00,0.70
2081.70,3122.50,5.20,4673.84,1628.99,162.97,109.71,200.00,0.70
1116.60,4466.50,2.79,4814.61,1327.81,168.83,118.01,200.00,0.70
4486.80,0.00,11.22,4650.92,2085.15,144.13,87.80,300.00,0.70
3692.60,923.10,9.23,4567.73,1938.75,150.02,93.95,300.00,0.70
2928.50,1952.40,7.32,4595.59,1808.98,156.67,101.61,300.00,0.70
2081.70,3122.50,5.20,4673.84,1628.99,162.97,109.71,300.00,0.70
1116.60,4466.50,2.79,4814.61,1327.82,168.83,118.01,300.00,0.70
4486.80,0.00,11.22,4650.93,2085.15,144.13,87.80,400.00,0.70
3692.60,923.20,9.23,4567.73,1938.75,150.02,93.95,400.00,0.70
2928.50,1952.40,7.32,4595.59,1808.98,156.67,101.61,400.00,0.70
2081.70,3122.50,5.20,4673.84,1628.99,162.97,109.71,400.00,0.70
1116.60,4466.50,2.79,4814.61,1327.82,168.83,118.01,400.00,0.70
4486.80,0.00,11.22,4650.92,2085.15,144.13,87.80,500.00,0.70
3692.60,923.10,9.23,4567.73,1938.75,150.02,93.95,500.00,0.70
2928.50,1952.40,7.32,4595.59,1808.98,156.67,101.61,500.00,0.70
2081.70,3122.50,5.20,4673.84,1628.99,162.97,109.71,500.00,0.70
1116.60,4466.50,2.79,4814.61,1327.82,168.83,118.01,500.00,0.70
4486.80,0.00,11.22,4650.92,2085.15,144.13,87.80,600.00,0.70
3692.60,923.10,9.23,4567.73,1938.75,150.02,93.95,600.00,0.70
2928.50,1952.40,7.32,4595.59,1808.98,156.67,101.61,600.00,0.70
2081.70,3122.50,5.20,4673.84,1628.99,162.97,109.71,600.00,0.70
1115.80,4463.00,2.79,4815.23,1328.67,168.80,117.97,600.00,0.70
5340.10,0.00,13.35,4450.76,1672.78,152.21,96.34,100.00,0.90
4385.40,1096.30,10.96,4354.66,1547.53,157.77,102.98,100.00,0.90
3491.90,2327.90,8.73,4387.91,1441.61,164.24,111.41,100.00,0.90
2499.80,3749.70,6.25,4478.85,1295.74,170.25,120.10,100.00,0.90
1352.90,5411.50,3.38,4645.18,1047.50,176.05,129.09,100.00,0.90
